日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,註記
115/03/27,"15,106,348","796,788,982",52.40,53.70,52.30,52.40,-0.20,"8,675",
115/03/30,"17,441,830","930,283,071",52.50,54.00,52.20,53.00,+0.60,"11,673",
115/03/31,"16,650,241","871,858,043",53.30,53.40,51.90,52.00,-1.00,"9,851",
115/04/01,"11,246,820","592,843,106",52.60,53.00,52.40,52.70,+0.70,"6,439",
115/04/02,"11,338,274","591,955,939",52.80,52.90,51.80,52.10,-0.60,"7,021",
115/04/07,"13,443,202","696,186,888",52.20,52.30,51.60,51.70,-0.40,"9,013",
115/04/08,"21,535,779","1,110,425,394",52.20,52.20,51.30,51.70, 0.00,"14,280",
115/04/09,"15,054,333","775,157,563",51.60,51.90,51.10,51.30,-0.40,"9,185",
115/04/10,"17,677,753","903,412,419",51.10,51.40,50.80,51.30, 0.00,"11,222",
115/04/13,"17,448,479","883,704,286",51.40,51.40,50.30,50.60,-0.70,"11,569",
115/04/14,"19,008,188","961,334,578",50.70,50.90,50.40,50.40,-0.20,"12,358",
115/04/15,"18,704,734","956,042,738",50.50,51.60,50.40,51.50,+1.10,"10,782",
115/04/16,"12,895,593","659,838,403",51.70,51.70,50.80,51.00,-0.50,"10,199",
115/04/17,"12,826,380","649,302,706",51.00,51.10,50.50,50.70,-0.30,"10,059",
115/04/20,"16,120,163","809,500,895",50.70,50.80,50.10,50.10,-0.60,"12,578",
115/04/21,"14,118,439","714,604,420",50.20,51.00,50.20,50.70,+0.60,"8,011",
115/04/22,"12,875,588","650,569,177",50.70,50.80,50.30,50.50,-0.20,"7,976",
115/04/23,"30,282,709","1,526,364,735",51.40,51.90,49.95,50.10,-0.40,"16,922",
115/04/24,"16,405,527","821,531,541",50.30,50.50,49.90,50.10, 0.00,"10,279",
115/04/27,"20,113,302","993,842,412",50.00,50.10,49.10,49.35,-0.75,"14,809",
115/04/28,"14,634,767","726,344,388",49.35,50.40,49.05,49.50,+0.15,"9,515",
115/04/29,"10,895,125","537,721,348",49.50,49.95,49.20,49.35,-0.15,"7,377",
115/04/30,"11,508,316","567,333,236",49.40,49.70,49.10,49.15,-0.20,"7,858",
115/05/04,"18,782,956","938,783,083",49.20,50.40,49.20,49.95,+0.80,"9,864",
115/05/05,"15,055,914","754,939,052",49.85,50.90,49.35,50.10,+0.15,"8,518",
115/05/06,"18,046,009","907,457,336",50.40,50.60,49.80,50.60,+0.50,"9,746",
115/05/07,"15,114,698","764,519,003",50.90,51.00,50.30,50.70,+0.10,"8,556",
115/05/08,"17,222,047","861,702,879",50.70,50.70,49.80,49.90,-0.80,"10,467",
115/05/11,"17,725,847","896,190,845",50.30,50.90,50.10,50.80,+0.90,"9,346",
115/05/12,"10,783,318","542,136,808",51.00,51.00,50.00,50.10,-0.70,"7,395",
115/05/13,"17,974,943","887,803,424",50.10,50.10,49.20,49.25,-0.85,"13,988",
115/05/14,"22,899,538","1,113,124,679",49.15,49.20,48.30,48.60,-0.65,"16,878",
115/05/15,"19,214,667","925,641,303",48.90,48.90,48.00,48.05,-0.55,"14,916",
115/05/18,"13,803,497","670,148,952",47.70,49.30,47.35,48.55,+0.50,"8,635",
115/05/19,"19,201,610","954,252,801",49.00,50.50,48.25,49.50,+0.95,"11,302",
115/05/20,"23,983,815","1,202,184,070",49.95,50.80,49.45,50.30,+0.80,"16,458",
115/05/21,"19,862,642","1,005,498,514",50.30,51.10,49.95,51.10,+0.80,"10,927",
115/05/22,"44,488,347","2,353,358,199",51.90,53.90,51.80,53.00,+1.90,"22,257",
